date,code,name,pattern,confidence,price,description,forward_3d,forward_5d,forward_10d,forward_20d,market_phase
2024-04-22,600176,中国巨石,B,中,11.8961701,上影线试盘突破(涨幅4.1%，上影线占比40%，量比2.2),-4.541832669322721,-4.2231075697211296,0.7968127490039612,1.2749003984063645,
2024-02-07,600177,雅戈尔,D,高,6.26475426,历史新高突破(距5日线6.5%|量比3.6),-1.2178619756427533,-2.0297699594046037,-0.5412719891745632,-3.9242219215155583,
2024-06-14,600183,生益科技,D,高,20.8553616,阶段新高(距24月高点-1.3%|距5日线5.3%|量比2.3),-4.841713221601484,-4.562383612662924,-1.9553072625698276,6.191806331471139,
2026-03-02,600188,兖矿能源,D,高,18.85,阶段新高(距24月高点-0.3%|距5日线6.6%|量比1.6),6.7904509283819525,7.586206896551717,10.875331564986723,6.896551724137923,
2024-11-07,600208,衢州发展,B,中,3.29,上影线试盘突破(涨幅4.1%，上影线占比39%，量比2.6),-4.863221884498481,-8.20668693009119,-7.598784194528873,3.647416413373872,
2024-04-30,600219,南山铝业,B,中,3.12619562,上影线试盘突破(涨幅6.2%，上影线占比42%，量比2.8),0.27932960893854997,4.748603351955305,5.865921787709505,7.5418994413407825,
2024-03-20,600233,圆通速递,F,低,14.77410831,上升三法(首阳6.6%|中间4天缩量|末涨6.2%|量比1.6),-3.7347070186735443,-4.314230521571161,3.2195750160978642,3.605924018029616,
2025-07-09,600276,恒瑞医药,D,高,57.19,阶段新高(距24月高点-1.3%|距5日线6.3%|量比2.8),0.03497114880224306,0.052456723203353484,-0.10491344640670697,7.676167162091274,
2024-01-05,600282,南钢股份,D,高,3.3503835,阶段新高(距24月高点-1.5%|距5日线2.2%|量比2.1),-4.404145077720212,-4.663212435233155,-7.772020725388606,-5.699481865284984,
2024-04-16,600295,鄂尔多斯,B,中,10.92985624,上影线试盘突破(涨幅5.8%，上影线占比39%，量比3.2),2.225755166931642,-2.861685214626386,-2.0667726550079424,-4.531001589825124,
2025-08-21,600298,安琪酵母,D,高,39.59,阶段新高(距24月高点-1.6%|距5日线1.8%|量比1.6),0.985097246779465,-0.4294013639808081,-0.10103561505432346,-0.25258903763577534,
2026-03-05,600299,安迪苏,D,高,12.74,阶段新高(距24月高点-1.1%|距5日线7.3%|量比1.9),4.2386185243328045,12.637362637362637,12.00941915227629,4.552590266875978,
2024-01-03,600312,平高电气,D,中,12.44702571,历史新高突破(距5日线3.3%|量比1.8),-0.5413766434648193,-1.314771848414542,-0.618716163959776,-4.7950502706883285,
2024-10-10,600316,洪都航空,E,中,26.26520436,大跌反包(前日跌5.8%|阳包阴覆盖100%|涨幅3.6%|量比2.0),-3.0441400304414,0.8371385083713934,27.77777777777779,45.73820395738204,
2025-07-30,600329,达仁堂,D,高,35.99429166,阶段新高(距24月高点-2.2%|距5日线3.9%|量比1.9),8.478146392838326,7.688256977356489,12.58557135334386,14.323328067403885,
2026-01-28,600339,中油工程,D,高,3.91,阶段新高(距24月高点-2.3%|距5日线4.1%|量比3.1),-1.7902813299232823,1.7902813299232712,3.5805626598465423,23.27365728900257,
2025-04-08,600346,恒力石化,E,低,14.45177524,大跌反包(前日跌4.3%|阳包阴覆盖86%|涨幅1.2%|量比2.6),1.0680907877169465,0.8010680907877044,4.005340453938588,4.472630173564762,
2026-03-02,600348,华阳股份,D,高,10.34,阶段新高(距24月高点-0.6%|距5日线4.3%|量比1.6),-2.5145067698259194,-3.481624758220503,-5.125725338491294,-9.96131528046421,
2025-07-30,600352,浙江龙盛,D,高,10.6140498,阶段新高(距24月高点-2.0%|距5日线0.9%|量比1.6),-2.308402585410896,-2.031394275161591,-2.308402585410896,-3.2317636195752564,
2024-03-14,600362,江西铜业,B,中,19.79383328,上影线试盘突破(涨幅4.5%，上影线占比88%，量比3.3),8.022652194431323,7.881075979235486,6.182161396885322,24.917413874469084,
2025-03-18,600363,联创光电,D,高,66.3025986,阶段新高(距24月高点-2.8%|距5日线7.6%|量比1.6),-1.8083182640144635,-7.775768535262206,-0.13562386980107144,-18.58047016274863,
2024-10-18,600369,西南证券,E,低,4.6106661,大跌反包(前日跌4.1%|阳包阴覆盖93%|涨幅5.6%|量比1.7),-1.4861995753715496,1.4926942985526326,1.0671484105084117,2.1310131306190083,
2026-01-06,600372,中航机载,D,高,14.16,阶段新高(距24月高点-0.7%|距5日线4.9%|量比2.0),9.533898305084755,5.296610169491522,10.875706214689252,10.73446327683616,
2024-01-03,600377,宁沪高速,D,中,10.02135438,历史新高突破(距5日线2.8%|量比1.6),2.2346368715083775,3.8175046554934866,4.469273743016755,5.959031657355673,
2026-01-12,600378,昊华科技,D,高,35.5,阶段新高(距24月高点-2.1%|距5日线2.6%|量比1.5),-1.6901408450704314,7.549295774647891,7.464788732394356,0.901408450704233,
2025-07-22,600380,健康元,F,低,12.49,上升三法(首阳6.4%|中间3天缩量|末涨3.6%|量比3.0),-1.8414731785428406,1.9215372297838318,1.8414731785428406,2.642113690952752,
2024-04-09,600392,盛和资源,A,中,11.595624,上穿年线+大涨(涨幅10.0%，量比2.0),-8.813559322033914,-13.22033898305085,-18.220338983050844,-10.254237288135604,
2024-01-31,600398,海澜之家,D,高,6.36678912,阶段新高(距24月高点-2.8%|距5日线1.4%|量比1.9),0.6510416666666741,5.729166666666674,6.901041666666652,12.369791666666675,
2024-03-06,600406,国电南瑞,D,高,23.71243118,阶段新高(距24月高点-1.8%|距5日线4.3%|量比1.6),0.03998400639744215,-1.8792483006797256,-1.6793282686925148,-5.557776889244304,
2024-10-10,600415,小商品城,E,高,9.91289023,大跌反包(前日跌7.6%|阳包阴覆盖94%|涨幅6.4%|量比3.0),14.370664023785928,9.415262636273525,6.243805748265618,20.911793855302264,
2025-07-21,600426,华鲁恒升,B,中,23.0753647,上影线试盘突破(涨幅5.0%，上影线占比31%，量比5.2),2.5321888412017213,3.3905579399141628,0.7725321888412129,3.090128755364785,
2024-11-11,600435,北方导航,B,中,12.3606796,上影线试盘突破(涨幅4.1%，上影线占比31%，量比2.5),-8.387096774193537,-15.564516129032258,-16.69354838709678,-16.048387096774185,
2024-09-30,600438,通威股份,A,高,22.83,上穿年线+涨停(涨幅10.0%，量比3.6),-5.69426193604905,-8.366184844502833,-5.168637757336835,33.15812527376261,
2026-04-23,600482,中国动力,D,高,42.26,阶段新高(距24月高点-2.5%|距5日线7.8%|量比2.1),-6.767628963558925,-8.731661145291048,-10.955986748698521,,
2024-05-24,600483,福能股份,D,高,10.1196324,阶段新高(距24月高点-1.3%|距5日线1.8%|量比1.8),0.09259259259257746,-0.7407407407407529,5.462962962962958,5.555555555555558,
2025-07-28,600486,扬农化工,D,高,69.268565,阶段新高(距24月高点-2.1%|距5日线7.2%|量比2.4),-4.992805755395668,-2.3741007194244546,-5.5107913669064645,2.517985611510798,
2024-11-06,600487,亨通光电,D,高,18.4190699,阶段新高(距24月高点-0.3%|距5日线6.1%|量比1.7),2.5133689839572204,-0.2673796791443972,-6.2566844919786035,-2.032085561497321,
2024-03-29,600489,中金黄金,D,中,12.58012078,历史新高突破(距5日线7.2%|量比1.9),1.8925056775170201,1.665404996214992,-1.2869038607115857,-0.681302043906129,
2024-11-04,600497,驰宏锌锗,D,高,5.99085405,阶段新高(距24月高点-2.1%|距5日线5.1%|量比1.8),8.265802269043743,3.0794165316045286,-4.376012965964337,-3.5656401944894722,
2024-03-18,600498,烽火通信,F,低,20.00476225,上升三法(首阳6.1%|中间5天缩量|末涨10.0%|量比1.5),-5.0122850122850116,-9.68058968058967,-10.61425061425062,-16.068796068796065,
2025-05-07,600499,科达制造,F,低,9.2431395,上升三法(首阳6.6%|中间2天缩量|末涨4.0%|量比1.6),6.369426751592355,3.715498938428863,7.537154989384298,8.729290518659827,
2024-03-29,600511,国药股份,F,低,31.294956,上升三法(首阳6.3%|中间5天缩量|末涨3.9%|量比1.3),2.7272727272727337,1.6969696969696857,5.939393939393955,5.3030303030303205,
2024-11-05,600515,海南机场,A,高,3.97,上穿年线+涨停(涨幅10.0%，量比2.1),2.518891687657443,-1.2594458438287215,-3.5264483627204024,2.7707808564231717,
2025-10-28,600516,方大炭素,D,高,5.68,阶段新高(距24月高点-2.9%|距5日线7.5%|量比2.7),8.450704225352123,14.260563380281699,18.309859154929576,14.612676056338024,
2024-09-30,600517,国网英大,A,高,5.39237803,上穿年线+涨停(涨幅10.0%，量比3.7),-1.4519056261342977,-1.6333938294010864,-5.081669691470047,10.889292196007272,
2025-07-04,600521,华海药业,B,中,22.7182582,上影线试盘突破(涨幅4.6%，上影线占比59%，量比2.4),-8.003479773814714,-9.50010419372732,-2.1491885324201543,-6.330847142145779,
2024-03-13,600522,中天科技,F,低,14.49095054,上升三法(首阳5.7%|中间4天缩量|末涨3.8%|量比2.2),-0.8655126498002708,-2.929427430093201,-8.655126498002662,-11.185086551264977,
2025-04-08,600528,中铁工业,E,高,7.92040014,大跌反包(前日跌7.8%|阳包阴覆盖85%|涨幅4.4%|量比1.8),-1.2484394506866336,-1.6229712858926382,0.0,-6.991260923845188,
2025-06-03,600535,天士力,D,高,16.51259365,阶段新高(距24月高点-2.5%|距5日线3.4%|量比1.7),-2.570233114166154,-1.4943215780035768,-6.335923490735206,-6.156604901374774,
2024-03-29,600547,山东黄金,D,高,27.74879142,阶段新高(距24月高点-0.2%|距5日线7.7%|量比2.3),5.348919589089629,11.087495572086436,8.430747431810136,2.267091746369121,
2024-04-03,600549,厦门钨业,B,中,20.5405549,上影线试盘突破(涨幅5.1%，上影线占比34%，量比3.9),-2.877030162412997,-1.1600928074245953,-7.610208816705343,-10.301624129930397,
2024-10-21,600562,国睿科技,B,中,17.4520383,上影线试盘突破(涨幅5.4%，上影线占比39%，量比5.0),2.2146507666098714,1.4196479273140161,2.9528676888131544,4.656445201589987,
2024-11-04,600563,法拉电子,B,中,126.4746176,上影线试盘突破(涨幅4.8%，上影线占比34%，量比2.4),3.204034134988376,6.710628394103946,-2.2110162916989973,3.2583397982932416,
2024-01-02,600566,济川药业,D,高,29.8082286,阶段新高(距24月高点-2.6%|距5日线5.2%|量比1.8),-1.5915915915915901,-1.6216216216216162,-1.981981981981984,-7.927927927927925,
2024-10-14,600570,恒生电子,E,高,24.84891912,大跌反包(前日跌8.2%|阳包阴覆盖86%|涨幅6.7%|量比2.8),3.287890938251792,12.309542902967108,6.13472333600642,38.05132317562148,
2025-05-06,600578,京能电力,D,高,4.05621632,阶段新高(距24月高点-1.9%|距5日线2.7%|量比2.1),5.048076923076916,3.3653846153846256,7.692307692307709,4.807692307692313,
